artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
TXT,album,Beautiful Strangers,2025-07-21,2025,85,138108,False,1,2,0,85.0
BTS,album,FAKE LOVE,2018-05-18,2018,79,242333,False,1,2,7,9.875
TXT,album,Ghost Girl,2025-07-21,2025,78,186601,False,1,3,0,78.0
Blackpink,single,As If It's Your Last,2017-06-22,2017,77,213264,False,1,1,8,8.555555555555555
Blackpink,single,BOOMBAYAH,2016-08-08,2016,77,240793,False,1,2,9,7.7
aespa,album,Drama,2023-11-10,2023,76,214973,False,1,1,2,25.33333333333333
BTS,album,Run BTS,2022-06-10,2022,76,204939,False,2,1,3,19.0
TXT,single,Love Language,2025-05-02,2025,76,177514,False,1,1,0,76.0
aespa,single,Dirty Work,2025-06-27,2025,75,180250,False,1,1,0,75.0
BTS,album,Butter,2022-06-10,2022,75,164952,False,1,18,3,18.75
BTS,album,Blood Sweat & Tears,2016-10-10,2016,74,217051,False,1,2,9,7.4
TXT,single,butterflies (feat. TAEHYUN & Kim Chaewon of LE SSERAFIM),2025-07-10,2025,74,164466,False,1,1,0,74.0
Blackpink,single,PLAYING WITH FIRE,2016-11-01,2016,74,197288,False,1,1,9,7.4
aespa,single,UP - KARINA Solo,2024-10-09,2024,74,166640,False,1,1,1,37.0
aespa,single,Whiplash,2024-10-21,2024,74,183226,False,1,1,1,37.0
TXT,album,Take My Half,2025-07-21,2025,74,176076,False,1,6,0,74.0
BTS,single,Permission to Dance,2021-07-23,2021,74,187585,False,1,1,4,14.8
TXT,album,Sunday Driver,2025-07-21,2025,74,167235,False,1,4,0,74.0
TXT,album,Upside Down Kiss,2025-07-21,2025,74,135331,False,1,1,0,74.0
BTS,album,DNA,2017-09-18,2017,73,223122,False,1,2,8,8.11111111111111
BTS,album,IDOL,2018-08-24,2018,73,222732,False,1,15,7,9.125
TXT,album,Dance With You,2025-07-21,2025,73,140822,False,1,5,0,73.0
Blackpink,single,WHISTLE,2016-08-08,2016,73,211631,False,1,1,9,7.3
TXT,album,Bird of Night,2025-07-21,2025,72,162199,False,1,7,0,72.0
TXT,album,Song of the Stars,2025-07-21,2025,72,206185,False,1,8,0,72.0
BTS,album,Euphoria,2018-08-24,2018,72,228615,False,1,1,7,9.0
Blackpink,album,Shut Down,2022-09-16,2022,72,175889,False,1,2,3,18.0
Blackpink,album,Pink Venom,2022-09-16,2022,72,186964,False,1,1,3,18.0
Blackpink,single,Kill This Love,2019-04-05,2019,72,189052,False,1,1,6,10.285714285714286
aespa,single,Dark Arts,2025-07-15,2025,71,181758,False,1,1,0,71.0
aespa,album,Armageddon,2024-05-27,2024,71,196466,False,1,2,1,35.5
BTS,album,Pied Piper,2017-09-18,2017,71,245620,False,1,5,8,7.888888888888889
Blackpink,album,Lovesick Girls,2020-10-02,2020,71,192765,False,1,5,5,11.833333333333334
BTS,single,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022-11-20,2022,71,201391,False,1,1,3,17.75
TXT,album,Deja Vu,2024-04-01,2024,71,171427,False,1,3,1,35.5
Blackpink,album,How You Like That,2020-10-02,2020,71,180956,False,1,1,5,11.833333333333334
aespa,single,Next Level,2021-05-17,2021,70,221573,False,1,1,4,14.0
aespa,single,Savage,2021-10-05,2021,70,238143,False,1,2,4,14.0
aespa,album,Supernova,2024-05-27,2024,70,178880,False,1,1,1,35.0
BTS,album,Airplane pt.2,2018-05-18,2018,69,218614,False,1,8,7,8.625
aespa,single,Hold On Tight,2023-03-30,2023,69,149718,False,1,1,2,23.0
BTS,single,Left and Right (Feat. Jung Kook of BTS),2022-06-24,2022,69,154486,False,1,1,3,17.25
TXT,single,When the Day Comes,2025-05-11,2025,69,221266,False,1,1,0,69.0
Blackpink,album,Pretty Savage,2020-10-02,2020,69,199122,False,1,3,5,11.5
Blackpink,single,DDU-DU DDU-DU,2018-06-15,2018,68,209355,False,1,1,7,8.5
TXT,album,0X1=LOVESONG (I Know I Love You) feat. Seori,2021-05-31,2021,68,202203,False,1,2,4,13.6
TXT,single,Sugar Rush Ride,2023-01-27,2023,68,186570,False,1,2,2,22.666666666666668
BTS,album,Epiphany,2018-08-24,2018,68,240361,False,1,13,7,8.5
BTS,album,Magic Shop,2018-05-18,2018,68,275695,False,1,7,7,8.5
BTS,album,dimple,2017-09-18,2017,68,196776,False,1,4,8,7.555555555555555
BTS,single,Take Two,2023-06-09,2023,68,229953,False,1,1,2,22.666666666666668
TXT,album,LO$ER=LO♡ER,2021-08-17,2021,68,199919,False,1,1,4,13.6
BTS,album,Yet To Come,2022-06-10,2022,67,193593,False,1,19,3,16.75
BTS,album,Love Maze,2018-05-18,2018,67,221529,False,1,6,7,8.375
Blackpink,single,STAY,2016-11-01,2016,67,230322,False,1,2,9,6.7
BTS,album,Go Go,2017-09-18,2017,67,235779,False,1,8,8,7.444444444444445
aespa,single,Spicy,2023-09-15,2023,67,197040,False,1,2,2,22.33333333333333
Blackpink,album,Typa Girl,2022-09-16,2022,66,179172,False,1,3,3,16.5
BTS,album,Best Of Me,2017-09-18,2017,66,227191,False,1,3,8,7.333333333333333
TXT,single,Tinnitus (Wanna be a rock),2023-01-27,2023,66,157261,False,1,4,2,22.0
BTS,album,Anpanman,2018-05-18,2018,66,232966,False,1,9,7,8.25
Blackpink,single,Don't Know What To Do,2019-04-05,2019,65,201081,False,1,2,6,9.285714285714286
BTS,single,Bad Decisions (with BTS & Snoop Dogg),2022-08-05,2022,65,172714,False,1,1,3,16.25
Blackpink,album,Ice Cream (with Selena Gomez),2020-10-02,2020,65,175813,False,1,2,5,10.833333333333334
Blackpink,album,Tally,2022-09-16,2022,65,184248,False,1,7,3,16.25
BTS,album,MIC Drop,2017-09-18,2017,65,238193,False,1,7,8,7.222222222222222
TXT,album,I’ll See You There Tomorrow,2024-04-01,2024,65,196694,False,1,1,1,32.5
BTS,album,Trivia 轉 : Seesaw,2018-08-24,2018,65,246334,False,1,11,7,8.125
BTS,album,So What,2018-05-18,2018,65,281520,False,1,10,7,8.125
TXT,single,Blue Hour,2020-10-26,2020,65,209105,False,1,2,5,10.833333333333334
TXT,single,Good Boy Gone Bad,2022-05-09,2022,65,191038,False,1,2,3,16.25
BTS,album,The Truth Untold (feat. Steve Aoki),2018-05-18,2018,65,242292,False,1,3,7,8.125
BTS,single,Dynamite,2020-09-18,2020,64,199053,False,1,1,5,10.666666666666666
BTS,album,I'm Fine,2018-08-24,2018,64,240339,False,1,14,7,8.0
TXT,album,Chasing That Feeling,2023-10-13,2023,64,182670,False,1,2,2,21.33333333333333
Blackpink,single,JUMP,2025-07-11,2025,64,164718,False,1,1,0,64.0
BTS,album,Answer : Love Myself,2018-08-24,2018,64,251279,False,1,16,7,8.0
BTS,album,Lie,2016-10-10,2016,64,215752,False,1,4,9,6.4
aespa,single,Dirty Work (feat. Flo Milli),2025-06-27,2025,63,180127,False,1,2,0,63.0
TXT,album,9 and Three Quarters (Run Away),2019-10-21,2019,63,211866,False,1,2,6,9.0
BTS,album,For Youth,2022-06-10,2022,63,264480,False,3,1,3,15.75
aespa,single,Dopamine - GISELLE Solo,2024-10-09,2024,63,194093,False,1,2,1,31.5
BTS,single,Make It Right (feat. Lauv),2019-10-18,2019,63,226321,False,1,1,6,9.0
